Parameter,Coefficient
A1_0 (N_0),13.658538077650748
A2_0 (N_0*M),-0.015716977988389426
A1_1 (N_1),3.284185460156397
A2_1 (N_1*M),0.009075383065905506
A1_2 (N_2),-659.64447191277
A2_2 (N_2*M),11.486201315388161
A1_3 (N_3),12.374831329922563
A2_3 (N_3*M),-21.102615321646507
A1_4 (N_4),4.812655359589278
A2_4 (N_4*M),-0.011767963336424714
A1_5 (N_5),2.9155182901596586
A2_5 (N_5*M),0.002675367908563153
A1_6 (N_6),97.31954705921389
A2_6 (N_6*M),-0.10983568478820871
A1_7 (N_7),87.70370770820386
A2_7 (N_7*M),-0.0102361785158962
A1_8 (N_8),95.98266611000736
A2_8 (N_8*M),-0.17165231855423713
A1_9 (N_9),3.8872612357320744
A2_9 (N_9*M),0.005908914166301182
A1_10 (N_10),27.431608682389765
A2_10 (N_10*M),10.467947001056572
A1_11 (N_11),207.13191005173488
A2_11 (N_11*M),-5.994107293424247
A1_12 (N_12),47.2244722479579
A2_12 (N_12*M),-0.1126497267601474
A1_13 (N_13),4687.002401081227
A2_13 (N_13*M),-17.438617416390304
A1_14 (N_14),3.637088127272039
A2_14 (N_14*M),0.0018206122848312134
A1_15 (N_15),1523.380386929546
A2_15 (N_15*M),-12.291920114395857
A1_16 (N_16),3162.7468422076386
A2_16 (N_16*M),-5.831333421235032
A1_17 (N_17),12062.07737546757
A2_17 (N_17*M),-30.991131552442038
A1_18 (N_18),-8900.847865814087
A2_18 (N_18*M),26.51752290680992
s0 (截距),17.609053416432683
s1 (Ncs),-0.0007389059235141104
α*(f0 + Nc*f1),0.018089414276358795
B1_0 (N_0/T),-1346.0243602086287
B2_0 (N_0*M/T),1.4512985122980635
B1_1 (N_1/T),-683.1104648245584
B2_1 (N_1*M/T),-0.736859315270668
B1_2 (N_2/T),67218.65971164973
B2_2 (N_2*M/T),-584.0308556358831
B1_3 (N_3/T),-1384.512470556434
B2_3 (N_3*M/T),3.123573901816734
B1_4 (N_4/T),-884.3388538381703
B2_4 (N_4*M/T),0.8874018464839444
B1_5 (N_5/T),-1241.7999715628353
B2_5 (N_5*M/T),0.12265876136019568
B1_6 (N_6/T),-8807.968860276269
B2_6 (N_6*M/T),8.501979441843284
B1_7 (N_7/T),-9868.206834593622
B2_7 (N_7*M/T),0.8989998655518077
B1_8 (N_8/T),-9972.171472230977
B2_8 (N_8*M/T),15.052018453536942
B1_9 (N_9/T),-764.4721254282289
B2_9 (N_9*M/T),-0.3969171769669653
B1_10 (N_10/T),-2768.9799999282504
B2_10 (N_10*M/T),6.455487384546672
B1_11 (N_11/T),-22960.243188824195
B2_11 (N_11*M/T),318.8958282597458
B1_12 (N_12/T),-4496.012971873527
B2_12 (N_12*M/T),9.649044453413296
B1_13 (N_13/T),-507785.7607517601
B2_13 (N_13*M/T),2010.7456302310393
B1_14 (N_14/T),-2221.3495762934604
B2_14 (N_14*M/T),0.5509219630357736
B1_15 (N_15/T),-157397.63946758347
B2_15 (N_15*M/T),1486.747823060029
B1_16 (N_16/T),-350388.12072210305
B2_16 (N_16*M/T),523.9930511525687
B1_17 (N_17/T),-1307700.9422773635
B2_17 (N_17*M/T),3372.5178512087177
B1_18 (N_18/T),957312.8215612449
B2_18 (N_18*M/T),-2848.526233887313
β*(f0 + Nc*f1),-6.750229278486386
C1_0 (N_0*ln(T)),-1.8466769860951118
C2_0 (N_0*M*ln(T)),0.0020168460385434628
C1_1 (N_1*ln(T)),-0.385388979578714
C2_1 (N_1*M*ln(T)),-0.001221384677990045
C1_2 (N_2*ln(T)),85.74714557351226
C2_2 (N_2*M*ln(T)),7.344413403885415
C1_3 (N_3*ln(T)),-1.7639984303578724
C2_3 (N_3*M*ln(T)),0.8941553827479396
C1_4 (N_4*ln(T)),-0.5694023520369718
C2_4 (N_4*M*ln(T)),0.0015949016280387696
C1_5 (N_5*ln(T)),-0.2509431280796233
C2_5 (N_5*M*ln(T)),-0.0004685575956386856
C1_6 (N_6*ln(T)),-13.054702998070974
C2_6 (N_6*M*ln(T)),0.014911229745848686
C1_7 (N_7*ln(T)),-11.407908451988902
C2_7 (N_7*M*ln(T)),0.0013270879004068092
C1_8 (N_8*ln(T)),-12.58276814753886
C2_8 (N_8*M*ln(T)),0.02290654812838966
C1_9 (N_9*ln(T)),-0.46878989626194434
C2_9 (N_9*M*ln(T)),-0.0008160999459745355
C1_10 (N_10*ln(T)),-3.5233759896293
C2_10 (N_10*M*ln(T)),-0.43609896021351346
C1_11 (N_11*ln(T)),-26.441546707063964
C2_11 (N_11*M*ln(T)),-3.6397737271965624
C1_12 (N_12*ln(T)),-6.353423864921741
C2_12 (N_12*M*ln(T)),0.015093666909855585
C1_13 (N_13*ln(T)),-606.0715673505766
C2_13 (N_13*M*ln(T)),11.719086722197474
C1_14 (N_14*ln(T)),-0.13010651363251924
C2_14 (N_14*M*ln(T)),-0.00038551898441596677
C1_15 (N_15*ln(T)),-198.3318275540471
C2_15 (N_15*M*ln(T)),-3.450680197826898
C1_16 (N_16*ln(T)),-407.71212863901434
C2_16 (N_16*M*ln(T)),-14.534136177030547
C1_17 (N_17*ln(T)),-1560.0046447219095
C2_17 (N_17*M*ln(T)),9.827970087718747
C1_18 (N_18*ln(T)),1152.4276475040097
C2_18 (N_18*M*ln(T)),2.38760207342772
